"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027491","1966-06","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13","2,I","5","2,I","0","2,I","","","","","","","","","","","","","","","","","19660609",",2,I","","","","","","","20.4","2,,I,09,","","","","","","","62.3","2,,,I","","","","","",""
"RSM00027491","1966-07","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13","1,I","6","1,I","0","1,I","","","","","","","","","","","","","","","","","19660703",",1,I","","","","","","","19.7","1,,I,03,","","","","","","","49.0","1,,,I","","","","","",""
"RSM00027491","1966-08","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","14",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19660830",",,I","","","","","","","20.2",",,I,30,","","","","","","","89.1",",,,I","","","","","",""
"RSM00027491","1966-09","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","14",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19660920",",,I","","","","","","","18.1",",,I,20,","","","","","","","62.0",",,,I","","","","","",""
"RSM00027491","1966-10","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","18",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19661030",",,I","","","","","","","8.7",",,I,30,","","","","","","","51.3",",,,I","","","","","",""
"RSM00027491","1966-11","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19661128",",,I","","","","","","","5.5",",,I,28,","","","","","","","27.9",",,,I","","","","","",""
"RSM00027491","1966-12","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","12","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","19661216",",2,I","","","","","","","3.1","2,,I,16,","","","","","","","15.1","2,,,I","","","","","",""
"RSM00027491","1967-02","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19670211",",,I","","","","","","","6.2",",,I,11,","","","","","","","17.4",",,,I","","","","","",""
"RSM00027491","1967-03","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19670308",",,I","","","","","","","2.2",",,I,08,","","","","","","","8.5",",,,I","","","","","",""
"RSM00027491","1967-04","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19670430","+,,I","","","","","","","5.3",",,I,30,+","","","","","","","35.7",",,,I","","","","","",""
"RSM00027491","1967-05","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","6",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19670526",",,I","","","","","","","12.0",",,I,26,","","","","","","","19.0",",,,I","","","","","",""
